"","doy","t","temp","seas","thresh","X5Ev"
"191",192,1982-07-10,28.79,27.6927,29.6831,0
"192",193,1982-07-11,28.73,27.7402,29.7347,0
"193",194,1982-07-12,28.66,27.7829,29.786,0
"194",195,1982-07-13,29.17,27.8206,29.8372,0
"195",196,1982-07-14,29.27,27.8548,29.8848,0
"196",197,1982-07-15,28.56,27.8865,29.9292,0
"197",198,1982-07-16,28.25,27.9169,29.9714,0
"198",199,1982-07-17,28.59,27.9444,30.0087,0
"199",200,1982-07-18,28.93,27.9678,30.0383,0
"200",201,1982-07-19,29.27,27.9858,30.0626,0
"201",202,1982-07-20,29.37,27.9986,30.0835,0
"202",203,1982-07-21,27.02,28.0071,30.1031,0
"203",204,1982-07-22,26.71,28.0115,30.1195,0
"204",205,1982-07-23,27.94,28.0125,30.1343,0
"205",206,1982-07-24,27.94,28.0114,30.1425,0
"206",207,1982-07-25,27.94,28.0066,30.1494,0
"207",208,1982-07-26,27.94,27.9965,30.1491,0
"208",209,1982-07-27,29.37,27.9814,30.1397,0
"209",210,1982-07-28,29.17,27.964,30.1236,0
"210",211,1982-07-29,27.84,27.946,30.1066,0
"211",212,1982-07-30,27.74,27.9273,30.0879,0
"212",213,1982-07-31,27.06,27.9065,30.0648,0
"213",214,1982-08-01,26.37,27.883,30.0394,0
"214",215,1982-08-02,25.69,27.856,30.011,0
"215",216,1982-08-03,26.61,27.8249,29.9775,0
"216",217,1982-08-04,27.02,27.7882,29.9411,0
"217",218,1982-08-05,27.74,27.7479,29.9016,0
"218",219,1982-08-06,28.25,27.7059,29.8585,0
"219",220,1982-08-07,27.77,27.6622,29.8121,0
"220",221,1982-08-08,27.29,27.6167,29.7584,0
"221",222,1982-08-09,26.82,27.57,29.7023,0
"222",223,1982-08-10,27.53,27.5237,29.6463,0
"223",224,1982-08-11,28.66,27.4778,29.586,0
"224",225,1982-08-12,26.2,27.431,29.5214,0
"225",226,1982-08-13,23.65,27.3837,29.4557,0
"226",227,1982-08-14,24.36,27.3348,29.3924,0
"227",228,1982-08-15,25.08,27.2835,29.333,0
"228",229,1982-08-16,25.79,27.2285,29.274,0
"229",230,1982-08-17,26.31,27.1694,29.2139,0
"230",231,1982-08-18,26,27.1069,29.1556,0
"231",232,1982-08-19,26,27.0421,29.0931,0
"232",233,1982-08-20,26.2,26.9747,29.027,0
"233",234,1982-08-21,25.96,26.9039,28.957,0
"234",235,1982-08-22,25.73,26.8306,28.8829,0
"235",236,1982-08-23,25.49,26.7548,28.8075,0
"236",237,1982-08-24,26,26.676,28.7297,0
"237",238,1982-08-25,27.33,26.5965,28.6496,0
"238",239,1982-08-26,25.69,26.5178,28.568,0
"239",240,1982-08-27,25.9,26.4389,28.4884,0
"240",241,1982-08-28,24.46,26.3571,28.4114,0
"241",242,1982-08-29,23.03,26.2708,28.3342,0
"242",243,1982-08-30,21.6,26.1795,28.2549,0
"243",244,1982-08-31,23.34,26.0833,28.1719,0
"244",245,1982-09-01,24.16,25.9823,28.0858,0
"245",246,1982-09-02,24.57,25.8775,27.9952,0
"246",247,1982-09-03,25.38,25.7696,27.9069,0
"247",248,1982-09-04,24.4,25.6585,27.8143,0
"248",249,1982-09-05,23.41,25.5425,27.7208,0
"249",250,1982-09-06,22.42,25.4208,27.623,0
"250",251,1982-09-07,22.93,25.2953,27.5164,0
"251",252,1982-09-08,22.93,25.1678,27.4077,0
"252",253,1982-09-09,21.91,25.0387,27.3005,0
"253",254,1982-09-10,21.91,24.9054,27.187,0
"254",255,1982-09-11,22.86,24.767,27.0722,0
"255",256,1982-09-12,23.82,24.6236,26.9556,0
"256",257,1982-09-13,24.77,24.4754,26.834,0
"257",258,1982-09-14,25.38,24.3235,26.7079,0
"258",259,1982-09-15,24.87,24.1692,26.5764,0
"259",260,1982-09-16,25.28,24.012,26.4447,0
"260",261,1982-09-17,24.67,23.8522,26.3147,0
"261",262,1982-09-18,24.43,23.6888,26.1848,0
"262",263,1982-09-19,24.19,23.5205,26.0532,0
"263",264,1982-09-20,23.95,23.3478,25.9234,0
"264",265,1982-09-21,23.95,23.1723,25.7953,0
"265",266,1982-09-22,22.01,22.9946,25.6699,0
"266",267,1982-09-23,21.4,22.8152,25.5424,0
"267",268,1982-09-24,20.88,22.6339,25.4124,0
"268",269,1982-09-25,21.09,22.4488,25.2722,0
"269",270,1982-09-26,21.29,22.2588,25.1187,0
"270",271,1982-09-27,21.5,22.066,24.9453,0
"271",272,1982-09-28,21.4,21.8713,24.7726,0
"272",273,1982-09-29,21.91,21.675,24.5972,0
"273",274,1982-09-30,21.91,21.4787,24.4213,0
"274",275,1982-10-01,20.99,21.2822,24.245,0
"275",276,1982-10-02,20.78,21.0847,24.0694,0
"276",277,1982-10-03,20.58,20.8849,23.8938,0
"277",278,1982-10-04,20.37,20.683,23.717,0
"278",279,1982-10-05,21.91,20.4805,23.5344,0
"279",280,1982-10-06,21.91,20.2781,23.3387,0
"280",281,1982-10-07,22.42,20.0768,23.1454,0
"281",282,1982-10-08,23.24,19.8746,22.9602,0
"282",283,1982-10-09,21.22,19.6677,22.7663,0
"283",284,1982-10-10,19.21,19.4553,22.5638,0
"284",285,1982-10-11,17.2,19.2395,22.3607,0
"285",286,1982-10-12,18.12,19.0234,22.155,0
"286",287,1982-10-13,18.33,18.8089,21.9497,0
"287",288,1982-10-14,18.53,18.5964,21.7493,0
"288",289,1982-10-15,18.43,18.3837,21.5495,0
"289",290,1982-10-16,16.69,18.169,21.3423,0
"290",291,1982-10-17,14.95,17.9528,21.1343,0
"291",292,1982-10-18,13.21,17.7348,20.9249,0
"292",293,1982-10-19,14.13,17.516,20.7114,0
"293",294,1982-10-20,15.97,17.3002,20.4958,0
"294",295,1982-10-21,18.12,17.0892,20.2792,0
"295",296,1982-10-22,15.77,16.88,20.0615,0
"296",297,1982-10-23,14.95,16.6694,19.832,0
"297",298,1982-10-24,14.13,16.4568,19.5933,0
"298",299,1982-10-25,13.31,16.2415,19.3507,0
"299",300,1982-10-26,13.21,16.0265,19.1181,0
"300",301,1982-10-27,12.19,15.8131,18.9042,0
"301",302,1982-10-28,12.91,15.6004,18.714,0
"302",303,1982-10-29,13.72,15.3883,18.5198,0
"303",304,1982-10-30,14.61,15.1774,18.3224,0
"304",305,1982-10-31,15.5,14.9666,18.1223,0
"305",306,1982-11-01,16.38,14.7565,17.9127,0
"306",307,1982-11-02,17.51,14.5487,17.7052,0
"307",308,1982-11-03,18.53,14.344,17.5037,0
"308",309,1982-11-04,19.66,14.1418,17.2977,0
"309",310,1982-11-05,18.84,13.9428,17.1032,0
"310",311,1982-11-06,16.25,13.7469,16.9218,0
"311",312,1982-11-07,13.66,13.5535,16.7422,0
"312",313,1982-11-08,11.06,13.363,16.5608,0
"313",314,1982-11-09,11.68,13.1783,16.3956,0
"314",315,1982-11-10,12.7,12.9994,16.2363,0
"315",316,1982-11-11,11.68,12.8252,16.0789,0
"316",317,1982-11-12,14.03,12.6525,15.9269,0
"317",318,1982-11-13,13.25,12.48,15.7762,0
"318",319,1982-11-14,12.46,12.3077,15.6211,0
"319",320,1982-11-15,11.68,12.1363,15.4594,0
"320",321,1982-11-16,9.63,11.9662,15.3066,0
"321",322,1982-11-17,9.63,11.7965,15.1546,0
"322",323,1982-11-18,10.76,11.6255,15.0009,0
"323",324,1982-11-19,12.09,11.4545,14.8449,0
"324",325,1982-11-20,12.8,11.2817,14.6935,0
"325",326,1982-11-21,13.52,11.1065,14.5396,0
"326",327,1982-11-22,14.23,10.9302,14.3814,0
"327",328,1982-11-23,14.23,10.7557,14.2314,0
"328",329,1982-11-24,14.64,10.5838,14.0846,0
"329",330,1982-11-25,13.95,10.4155,13.9445,0
"330",331,1982-11-26,13.25,10.2496,13.806,0
"331",332,1982-11-27,12.56,10.0848,13.6679,0
"332",333,1982-11-28,11.86,9.9213,13.5156,0
"333",334,1982-11-29,11.17,9.7608,13.3599,0
"334",335,1982-11-30,11.78,9.6018,13.2046,0
"335",336,1982-12-01,12.39,9.4434,13.0546,0
"336",337,1982-12-02,13.01,9.2865,12.9072,1
"337",338,1982-12-03,13.21,9.1319,12.761,1
"338",339,1982-12-04,14.41,8.9805,12.6149,1
"339",340,1982-12-05,15.6,8.8322,12.4736,1
"340",341,1982-12-06,16.79,8.6849,12.3315,1
"341",342,1982-12-07,15.26,8.5388,12.1905,1
"342",343,1982-12-08,11.68,8.3956,12.0514,0
"343",344,1982-12-09,11.27,8.2551,11.9139,0
"344",345,1982-12-10,7.69,8.1163,11.7759,0
"345",346,1982-12-11,6.63,7.9802,11.6431,0
"346",347,1982-12-12,5.57,7.8476,11.5173,0
"347",348,1982-12-13,4.52,7.7193,11.3912,0
"348",349,1982-12-14,3.6,7.5941,11.2689,0
"349",350,1982-12-15,4.11,7.4708,11.152,0
"350",351,1982-12-16,7.79,7.3496,11.0463,0
"351",352,1982-12-17,7.38,7.2318,10.9447,0
"352",353,1982-12-18,6.94,7.119,10.8438,0
"353",354,1982-12-19,6.49,7.0125,10.7459,0
"354",355,1982-12-20,6.05,6.9116,10.6552,0
"355",356,1982-12-21,5.13,6.8156,10.5678,0
"356",357,1982-12-22,4.72,6.7238,10.4795,0
"357",358,1982-12-23,4.52,6.6371,10.3959,0
"358",359,1982-12-24,5.74,6.5553,10.3151,0
"359",360,1982-12-25,6.97,6.4788,10.2468,0
"360",361,1982-12-26,8.2,6.4067,10.1791,0
"361",362,1982-12-27,9.43,6.3381,10.113,0
"362",363,1982-12-28,10.65,6.2717,10.0359,0
"363",364,1982-12-29,9.87,6.2073,9.9708,0
"364",365,1982-12-30,9.09,6.1436,9.912,0
"365",366,1982-12-31,8.3,6.0814,9.8597,0
"366",1,1983-01-01,7.89,6.0213,9.8011,0
"367",2,1983-01-02,7.48,5.9619,9.754,0
"368",3,1983-01-03,7.07,5.9009,9.7066,0
"369",4,1983-01-04,5.74,5.8374,9.6579,0
"370",5,1983-01-05,5.74,5.7714,9.6088,0
"371",6,1983-01-06,6.77,5.7045,9.5577,0
"372",7,1983-01-07,6.36,5.6374,9.5112,0
"373",8,1983-01-08,6.84,5.5699,9.4651,0
"374",9,1983-01-09,7.31,5.502,9.4208,0
"375",10,1983-01-10,7.79,5.4345,9.3773,0
"376",11,1983-01-11,9.33,5.3679,9.3366,0
"377",12,1983-01-12,9.33,5.3027,9.2992,0
"378",13,1983-01-13,5.54,5.2419,9.2635,0
"379",14,1983-01-14,4.52,5.1875,9.2345,0
"380",15,1983-01-15,4.18,5.1398,9.2087,0
"381",16,1983-01-16,3.84,5.0977,9.1791,0
"382",17,1983-01-17,3.49,5.0599,9.1451,0
"383",18,1983-01-18,2.88,5.0258,9.1079,0
"384",19,1983-01-19,0.43,4.9966,9.0707,0
"385",20,1983-01-20,-0.6,4.973,9.0358,0
"386",21,1983-01-21,-0.09,4.9544,9.0038,0
"387",22,1983-01-22,1.59,4.9391,8.9754,0
"388",23,1983-01-23,3.26,4.9265,8.9499,0
"389",24,1983-01-24,4.93,4.9139,8.9199,0
"390",25,1983-01-25,5.23,4.8999,8.8824,0
"391",26,1983-01-26,5.03,4.8851,8.8452,0
"392",27,1983-01-27,5.34,4.872,8.8028,0
"393",28,1983-01-28,5.13,4.8633,8.7773,0
"394",29,1983-01-29,5.27,4.8586,8.7576,0
"395",30,1983-01-30,5.4,4.8581,8.7475,0
"396",31,1983-01-31,5.54,4.8622,8.7375,0
"397",32,1983-02-01,5.85,4.8726,8.7415,0
"398",33,1983-02-02,7.38,4.8924,8.7525,0
"399",34,1983-02-03,9.43,4.9223,8.7727,0
"400",35,1983-02-04,8.2,4.9625,8.8017,0
"401",36,1983-02-05,6.77,5.0122,8.8341,0
"402",37,1983-02-06,5.34,5.0696,8.8699,0
"403",38,1983-02-07,3.9,5.1328,8.9063,0
"404",39,1983-02-08,3.29,5.201,8.9503,0
"405",40,1983-02-09,2.47,5.274,8.9925,0
"406",41,1983-02-10,2.68,5.3505,9.0341,0
"407",42,1983-02-11,3.09,5.4305,9.0845,0
"408",43,1983-02-12,3.05,5.5118,9.1323,0
"409",44,1983-02-13,3.02,5.5905,9.1835,0
"410",45,1983-02-14,2.98,5.6664,9.2309,0
"411",46,1983-02-15,4.11,5.7408,9.2794,0
"412",47,1983-02-16,5.13,5.8161,9.3361,0
"413",48,1983-02-17,6.56,5.8954,9.4032,0
"414",49,1983-02-18,5.54,5.979,9.4767,0
"415",50,1983-02-19,5.78,6.0658,9.5594,0
"416",51,1983-02-20,6.02,6.1568,9.6482,0
"417",52,1983-02-21,6.26,6.2525,9.7369,0
"418",53,1983-02-22,7.79,6.3542,9.8334,0
"419",54,1983-02-23,8.92,6.4623,9.9337,0
"420",55,1983-02-24,7.59,6.5795,10.0538,0
"421",56,1983-02-25,7.28,6.7067,10.1928,0
"422",57,1983-02-26,6.46,6.842,10.3477,0
"423",58,1983-02-27,5.64,6.9817,10.5159,0
"424",59,1983-02-28,4.82,7.1233,10.6843,0
"425",61,1983-03-01,8.1,7.4115,11.0181,0
"426",62,1983-03-02,7.59,7.5576,11.189,0
"427",63,1983-03-03,8.4,7.704,11.3502,0
"428",64,1983-03-04,9.73,7.8476,11.5052,0
"429",65,1983-03-05,10.83,7.9885,11.6533,0
"430",66,1983-03-06,11.92,8.126,11.795,0
"431",67,1983-03-07,13.01,8.2612,11.936,0
"432",68,1983-03-08,11.78,8.3979,12.0772,0
"433",69,1983-03-09,11.37,8.539,12.2196,0
"434",70,1983-03-10,10.14,8.6832,12.3589,0
"435",71,1983-03-11,9.84,8.8316,12.507,0
"436",72,1983-03-12,8.75,8.9842,12.6572,0
"437",73,1983-03-13,7.65,9.1412,12.8028,0
"438",74,1983-03-14,6.56,9.3031,12.9569,0
"439",75,1983-03-15,8.4,9.4715,13.1131,0
"440",76,1983-03-16,9.84,9.6452,13.2698,0
"441",77,1983-03-17,8.92,9.8222,13.4245,0
"442",78,1983-03-18,9.12,10.0014,13.5852,0
"443",79,1983-03-19,10.38,10.1795,13.7394,0
"444",80,1983-03-20,11.64,10.3563,13.9018,0
"445",81,1983-03-21,12.91,10.5331,14.0602,0
"446",82,1983-03-22,13.21,10.7089,14.2141,0
"447",83,1983-03-23,9.22,10.8835,14.3766,0
"448",84,1983-03-24,8.61,11.0559,14.5345,0
"449",85,1983-03-25,6.36,11.2245,14.6995,0
"450",86,1983-03-26,7.04,11.3884,14.8566,0
"451",87,1983-03-27,7.72,11.5488,15.0043,0
"452",88,1983-03-28,8.4,11.7091,15.1545,0
"453",89,1983-03-29,9.12,11.8693,15.3095,0
"454",90,1983-03-30,7.48,12.0308,15.4585,0
"455",91,1983-03-31,8.71,12.1943,15.6099,0
"456",92,1983-04-01,7.18,12.3604,15.7625,0
"457",93,1983-04-02,9.09,12.5287,15.9123,0
"458",94,1983-04-03,11,12.6979,16.0677,0
"459",95,1983-04-04,12.91,12.869,16.2253,0
"460",96,1983-04-05,13.42,13.0438,16.386,0
"461",97,1983-04-06,13.42,13.2223,16.5527,0
"462",98,1983-04-07,12.8,13.4043,16.7245,0
"463",99,1983-04-08,13.21,13.5859,16.8968,0
"464",100,1983-04-09,12.97,13.7649,17.0704,0
"465",101,1983-04-10,12.73,13.9414,17.2455,0
"466",102,1983-04-11,12.5,14.1148,17.4184,0
"467",103,1983-04-12,11.27,14.2856,17.5934,0
"468",104,1983-04-13,12.39,14.4541,17.7742,0
"469",105,1983-04-14,12.6,14.621,17.9543,0
"470",106,1983-04-15,13.72,14.7856,18.1308,0
"471",107,1983-04-16,12.91,14.9473,18.3055,0
"472",108,1983-04-17,12.09,15.1081,18.4823,0
"473",109,1983-04-18,11.27,15.2684,18.6515,0
"474",110,1983-04-19,9.84,15.4306,18.8206,0
"475",111,1983-04-20,7.48,15.5963,18.9901,0
"476",112,1983-04-21,9.12,15.7656,19.1611,0
"477",113,1983-04-22,11.47,15.9379,19.3378,0
"478",114,1983-04-23,11.88,16.1108,19.5075,0
"479",115,1983-04-24,12.29,16.283,19.68,0
"480",116,1983-04-25,12.7,16.4571,19.8464,0
"481",117,1983-04-26,11.17,16.6356,20.0149,0
"482",118,1983-04-27,12.39,16.8179,20.1844,0
"483",119,1983-04-28,15.77,16.9994,20.3413,0
"484",120,1983-04-29,17.82,17.1802,20.4866,0
"485",121,1983-04-30,18.53,17.3582,20.6351,0
"486",122,1983-05-01,19.25,17.533,20.7789,0
"487",123,1983-05-02,19.96,17.7044,20.9309,0
"488",124,1983-05-03,20.88,17.8725,21.0838,0
"489",125,1983-05-04,20.37,18.04,21.2405,0
"490",126,1983-05-05,18.84,18.2095,21.4041,0
"491",127,1983-05-06,18.43,18.3775,21.5653,0
"492",128,1983-05-07,18.22,18.5419,21.7265,0
"493",129,1983-05-08,18.02,18.7034,21.8887,0
"494",130,1983-05-09,17.82,18.8654,22.061,0
"495",131,1983-05-10,16.69,19.0297,22.243,0
"496",132,1983-05-11,16.28,19.1987,22.4302,0
"497",133,1983-05-12,16.89,19.3728,22.6215,0
"498",134,1983-05-13,20.68,19.5508,22.8175,0
"499",135,1983-05-14,21.46,19.7297,23.0056,0
"500",136,1983-05-15,22.25,19.9083,23.1873,0
"501",137,1983-05-16,23.03,20.0858,23.3671,0
